Acer,4,IPS Panel,2,1,5,35.56,1.6,8,256,1.6,978
Dell,3,Full HD,1,1,3,39.624,2,4,256,2.2,634
Dell,3,Full HD,1,1,7,39.624,2.7,8,256,2.2,946
Dell,4,IPS Panel,2,1,5,33.782,1.6,8,128,1.22,1244
HP,4,Full HD,2,1,7,39.624,1.8,8,256,1.91,837
Dell,3,Full HD,1,1,5,39.624,1.6,8,256,2.2,1016
HP,3,Full HD,3,1,5,39.624,1.6,8,256,2.1,1117
Acer,3,IPS Panel,2,1,5,38.1,1.6,4,256,2.2,866
Dell,3,Full HD,1,1,5,39.624,2.5,4,256,2.3,812
Acer,3,IPS Panel,3,1,7,38.1,1.8,8,256,2.2,1068
Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.13,975
HP,3,Full HD,2,1,3,39.624,2,4,128,1.91,558
Asus,3,Full HD,2,2,3,39.624,2,4,256,2,527
Dell,4,Full HD,2,1,5,35.56,1.6,8,256,1.7,1117
Asus,3,Full HD,2,1,5,35.56,1.6,8,256,1.4,1195
HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.86,876
Dell,4,IPS Panel,1,1,7,33.02,1.8,8,256,1.4,1213
Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.2,1105
Dell,4,IPS Panel,2,1,5,38.1,1.6,8,256,1.88,1392
HP,3,Full HD,2,1,5,35.56,1.6,8,256,1.63,1092
HP,4,IPS Panel,3,1,7,38.1,1.8,8,256,1.83,888
HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.96,761
Dell,4,IPS Panel,2,1,7,33.02,1.8,8,256,1.21,2095
Dell,1,Full HD,3,1,5,39.624,2.5,8,256,2.65,1518
Asus,4,Full HD,2,1,7,35.56,2.7,8,256,1.25,1333
Dell,3,Full HD,1,2,3,39.624,2,4,256,2.2,616
Asus,3,Full HD,3,1,3,39.624,2.4,6,256,2,733
HP,3,Full HD,1,1,7,39.624,2.7,8,256,1.91,913
HP,4,IPS Panel,3,1,7,33.02,2.7,8,256,1.38,1421
HP,3,IPS Panel,3,1,5,35.56,2.5,6,256,?,837
Asus,4,IPS Panel,3,1,7,35.56,2.7,8,256,1.3,1515
Lenovo,3,IPS Panel,2,1,7,35.56,2.7,8,256,1.58,1880
Dell,4,IPS Panel,2,1,5,33.02,1.6,8,256,1.21,2069
Asus,3,Full HD,3,1,7,39.624,1.8,8,256,1.7,1420
HP,3,Full HD,2,1,5,43.942,1.6,8,256,2.5,1179
Acer,4,IPS Panel,2,1,7,35.56,1.8,8,256,1.6,1123
Acer,3,Full HD,3,1,3,39.624,2.7,4,256,2.2,727
HP,3,Full HD,2,1,7,35.56,1.8,8,256,1.63,1255
HP,3,IPS Panel,2,1,5,33.02,2.5,4,256,?,888
Lenovo,3,IPS Panel,1,1,5,35.56,1.6,8,256,1.75,1418
